,id,title,overview,genres,keywords,first_air_date,characters,popularity,imdb_id,averageRating,numVotes,titleType,primaryTitle,originalTitle,isAdult,startYear,runtimeMinutes,tags
4276,76888,Tomboy,"The TV Channel Friday! opens a school for real ladies. Within a few months, a bold social experiment will take place in front of the audience. Young girls from the provinces, whose lives are going downhill at breakneck speed, will try their best to change their fate. The first reality show about working hard on yourself starts right now.",Reality,,2016-08-25,[],31.505,tt12161338,6.3,22,tvSeries,Patsanki,Patsanki,0,2016,\N,reality  audience social young change bold starts months channel downhill fate ladies opens school friday place reality working hard lives experiment provinces real speed girls breakneck
4277,18486,Pavitra Rishta,Pavitra Rishta is an Indian soap opera that airs on Zee TV. It premiered on 1 June 2009 and airs weeknights. It is produced by Ekta Kapoor of Balaji Telefilms. Pavitra Rishta portrays the life of two common middle-class Maharashtrian families in the city of Mumbai and their day-to-day life. It particularly focuses on the journey of the couple Manav and Archana and their grown-up children.,Drama,,2009-07-01,"['Archana Deshmukh', 'Manav Deshmukh', 'Manav Deshmukh', 'Ovi Deshmukh', 'Purvi Deshmukh/Purvi Dutt/Purvi Kirloskar', 'Arjun Kirloskar', 'Dr. Onir Dutt', 'Naren Karmarkar', 'Varsha Deshpande/Jhumri', 'Vaishali Jaipurwala']",31.492,tt2282359,6.3,1940,tvSeries,Pavitra Rishta,Pavitra Rishta,0,2009,24,drama  indian zee rishta city mumbai children soap premiered grown focuses couple telefilms class archana balaji produced weeknights airs common families journey pavitra june manav 2009 kapoor opera portrays maharashtrian middle ekta day 1 life
4278,5656,The Ray Bradbury Theater,A Canadian-produced fantastic anthology series scripted by famed science-fiction author Ray Bradbury. Many of the teleplays were based upon Bradbury's novels and short stories.,Sci-Fi-&-Fantasy Drama,,1985-05-21,['Self - Introduction'],31.492,tt0088591,7.3,1763,tvSeries,The Ray Bradbury Theater,The Ray Bradbury Theater,0,1985,23,sci-fi-&-fantasy drama  anthology bradbury series based ray produced short fiction stories author canadian famed fantastic scripted science teleplays novels
4279,65157,Shchuna,"A group of teenagers live in a small nieghborhood, everybody know each other and all are good friends. However, behind a wall there is a big city of rich people, that will do anything to make the others feel bad.",Drama,,2014-11-02,"['Agam Sheinfeld', 'Racheli Ben-David', 'Vicky Ben-David', 'Udi Ben-David', 'Lilush', 'Liron Biton']",31.486,tt4211288,7.3,67,tvSeries,The Hood,Shchuna,0,2014,22,drama  wall city big small bad teenagers feel live people good nieghborhood friends group rich
4280,138251,Eve,"The Republic of Korea is overturned by 2 trillion-won divorce scandal of a chaebol caused by one ordinary woman. It is about getting into the truth of the scandal and the top 1% rich couple who made it. Surprisingly, Lee Ra-el, a nobody who's not rich nor famous has caused the divorce. But Ra-el is a charming and intelligent woman who's mastered art, psychology, and even economics. if she wants to, she can get any kind of man with her looks and brain.",Drama Comedy,chaebol,2022-06-01,"['Lee Ra-el / Kim Sun-bin', 'Kang Youn-kyum', 'Han So-ra', 'Seo Eun-pyeong', 'Jang Moon-hee', 'Jang Jin-wook', 'Eun Dam-ri', 'Yeo Ji-hee', 'Han Pan-ro', 'Kim Gye-young', 'Kim Jung-chul', 'Kang Da-bi', 'Jang Bo-ram', 'Cha Erisa', 'Moon Do-wan', 'Kang Bon-geun', 'Kang Chi-kyum', 'Yoon Soo-jung']",31.485,tt20723826,7.3,1760,tvSeries,Eve,Eve,0,2022,60,drama comedy chaebol truth intelligent couple surprisingly lee trillion korea woman mastered psychology famous caused economics scandal overturned brain man kind republic divorce 2 chaebol art charming rich 1 ordinary
4281,257511,Sky Castle,"“Sky Castle,” one of the most iconic Korean TV drama series of recent years, is to be remade by TV Asahi in Japan in July, 2024. The Japanese version will center around the high school admission process. This is to better reflect the reality of the Japanese education system, where high school admissions are considered more difficult and involve more parental participation.  The shooting of the Japanese version of SKY Castle will feature Nao Matsushita, Fumino Kimura and Koyuki.",Drama,remake,2024-07-25,"['', '', '', '', '', '', '', '']",31.472,tt33038101,6.3,6,tvMiniSeries,Sky Castle,Sukai kyassuru,0,2024,\N,drama remake iconic education shooting 2024 series considered japan admission parental version years involve participation reflect matsushita drama center japanese school korean reality nao remade july feature fumino asahi kimura high koyuki sky difficult process admissions castle
4282,64629,Amazing Train Journeys,Amazing Train Journeys,Documentary,railroad discovery voyage,2011-07-28,['Himself - Presenter'],31.471,tt2446456,8.7,158,tvSeries,Amazing Train Journeys,Des trains pas comme les autres,0,2011,\N,documentary railroad discovery voyage train amazing journeys
4283,121513,Kang's Family,"Kang's Family; Migrant Wives, Local Husbands (Chinese: 外来媳妇本地郎 is a Cantonese sitcom produced by Guangdong Radio and Television. Filming began on April 18, 2000, and has been broadcast on GRT Pearl River Channel since November 4, 2000, with two episodes on Saturdays and Sundays at 19:00. It is the longest-running and most frequently aired sitcom in Chinese television history. As of May 15, 2021, the show has aired more than 4,000 episodes.",Comedy Drama Family,culture-clash guangzhou,2000-11-04,[],31.331,tt7803586,9.0,10,tvSeries,"Migrant Wives, Local Husbands",Wai Lai Xi Fu Ben Di Lang,0,2000,45,comedy drama family culture-clash guangzhou pearl filming 15 running television sitcom 2000 april longest river episodes aired 000 sundays grt channel guangdong produced 00 husbands began wives 外来媳妇本地郎 2021 history radio kang local migrant cantonese frequently 4 18 saturdays broadcast chinese family 19 november
4284,61963,Waiting For The Sun,Zeynep is a beautiful high school student who has a moderate and ordinary life with her mother Demet in a small city. Zeynep has been raised without knowing her father but she always think about him when she stays alone. She was told that her father was a seaman and was lost in the sea when he was on duty.,Drama,,2013-07-02,"['Cihan Güzel', 'Zeynep Yılmaz Güzel', 'Kerem Sayer', 'Barış Erdoğan', 'Melis Güzel', 'Tülin', 'Demet Yılmaz', 'Sevim Sayer', 'Ahmet Sayer', '', 'Jale', 'Tayfun', 'Yağmur', 'Behice', 'Can', 'Bora', 'Mehmet Varol', 'Merve']",26.634,tt3052000,6.9,7312,tvSeries,Waiting for the Sun,Günesi Beklerken,0,2013,120,drama  seaman city beautiful student small zeynep raised father stays school knowing told moderate mother sea high duty demet lost ordinary life
4285,422,Live & Kicking,"Live & Kicking was a BBC Saturday morning children's magazine programme, running from 1993 to 2001. The fourth in a succession of Saturday morning shows, it was the replacement for Going Live!, and took many of its features from it, such as phone-ins, games, comedy, competitions and the showing of cartoons. Once Live & Kicking had become established in series two, it reached its height in popularity during series four, when it was presented by Zoë Ball and Jamie Theakston; their final episode won a BAFTA award. After this the series ratings dropped with the launch of SMTV Live on ITV and was eventually cancelled in 2001.",,,1993-10-02,"['Self - Presenter', 'Self - Presenter', 'Self - Presenter', 'Self - Presenter', 'Self - Presenter', 'Self - Presenter', 'Self - Presenter', 'Self']",31.45,tt0139781,7.0,415,tvSeries,Live & Kicking,Live & Kicking,0,1993,180,  eventually height children running jamie theakston series programme phone 2001 launch cancelled cartoons dropped final magazine saturday bafta live popularity established features episode ratings morning fourth comedy showing reached presented ball bbc itv zoë kicking smtv ins competitions succession games award 1993 replacement
4286,104416,Trident,"Cui Tiejun, Xu Guozhu, and Pan Jianghai, known as the Trident of the city police come together to fight crime.",Crime,policeman police-department,2020-05-31,"['Cui Tiejun', 'Xu Guozhu', 'Pan Jianghai', 'Xia Jingyi', 'Hua Jie', 'Lin Nan', 'Xia Chunsheng', 'Zhang Hua', 'Zheng Guangming', 'Zhao Qingkui', 'Biao Ji', 'Er Go']",30.78,tt11474084,6.7,37,tvSeries,Trident,San cha ji,0,2020,45,crime policeman police-department xu city jianghai crime guozhu tiejun trident fight pan police cui
4287,111837,Willow,"Many years after the events of the original film, legendary sorcerer Willow leads a group of misfit heroes on a dangerous rescue mission through a world beyond their wildest imaginations.",Sci-Fi-&-Fantasy Action-&-Adventure Drama,chosen-one based-on-movie high-fantasy visions band-of-misfits,2022-11-30,"['Willow Ufgood', 'Dove', 'Princess Kit Tanthalos', 'Jade Claymore', 'Prince Graydon Hastur', 'Thraxus Boorman', 'Prince Airk Tanthalos']",28.548,tt10278918,5.7,34040,tvSeries,Willow,Willow,0,2022,\N,sci-fi-&-fantasy action-&-adventure drama chosen-one based-on-movie high-fantasy visions band-of-misfits leads wildest film years dangerous original rescue events imaginations legendary misfit group willow sorcerer heroes mission
4288,66725,Witch Hunt,"""Witch Hunt"" is a South Korean talk show that discusses viewers' concerns about sex and dating with the week's celebrity guests.",Talk,,2013-08-02,"['MC', 'MC', 'MC', 'Regular Guest', 'Regular Guest', 'Regular Guest', 'MC']",30.117,tt5643432,7.7,7,tvSeries,Witch Hunt,Witch Hunt,0,2013,\N,talk  sex south celebrity hunt concerns viewers week discusses korean witch talk guests dating
4289,153666,Amor e Ódio,Amor e Ódio,Drama Mystery,,2001-12-10,"['Regina Castro Villa Real', 'José Maria Cortês', 'Laura Castro', 'Ema Cortês', 'Macário Rocha', 'Maurício Padilha', 'Berenice Castro', 'Severiano Cortês', 'Padre Abel', 'Otávio Costa', 'Anselmo Moraes', 'Silvia Hernandes', 'Ismael', 'Martinha / Bá', 'Fortunato', 'Juca', 'Rosinha', 'Manuel Hernandes']",35.768,tt0296335,5.9,15,tvSeries,Amor E Ódio,Amor E Ódio,0,2001,\N,drama mystery  amor ódio
4290,117464,I Have Known You All My Life,"Pedro, unhappy in his marriage of convenience, falls in love with Vera during a business trip. After his father blackmails him into breaking Vera's heart, fate brings the two together again years later.",Soap Drama,telenovela,2021-01-18,"['Pedro Cáceres', 'Vera Solís', 'Ivana', 'Olmo Cáceres', 'Gastón Cáceres', 'Lola', 'Julio', 'Teo', 'Faby', 'Gabriel Abadía']",27.811,tt13519096,5.8,51,tvSeries,Te acuerdas de mí,Te acuerdas de mí,0,2021,60,soap drama telenovela convenience vera unhappy years heart fate father breaking pedro trip blackmails marriage love business falls brings
4291,226411,Mía es la venganza,Mía es la venganza,Drama Soap,revenge romance car-accident impossible-love women-empowerment soap-opera diversity traumatic-past thriller,2023-06-12,"['Sonia Hidalgo', 'Olivia Serra', 'Fernando Serra', 'Mario Costa', 'Alejandro Alonso', 'Bosco San Román', 'Santiago San Román', 'Miguel Montes', 'Lorenzo Zorrilla', 'Orson Benavente', 'Lucía Serrano', 'Abir Ayad', 'Diego Vargas', 'Carlos Andrade', 'Paola Malinverni', 'Candela Salmerón', 'Yaritza Reyes', 'Lola Vázquez', 'Luisa Casado', 'Sara Maceda', 'Gonzalo Maceda', 'Rafael Solano', 'Elena del Pino', 'Blanca Cobo', 'Arturo Carrillo', 'Vanessa Muñoz', 'Ana Blasco', 'Marta Moreno', 'Jaime Serra', 'Enrique Sáenz', 'Sonia Hidalgo joven', 'Pedro Tascón']",28.526,tt26745990,7.1,43,tvSeries,Mía es la venganza,Mía es la venganza,0,2023,50,drama soap revenge romance car-accident impossible-love women-empowerment soap-opera diversity traumatic-past thriller venganza mía
4292,3200,Even Stevens,"The Stevens are a middle-class family living in Sacramento, CA. Husband and father Steve is a successful attorney. Wife and mother Eileen is a state Senator. Their oldest child Donnie ia a high-school sports legend. Ren, an 8th-grader, is just about the perfect daughter. She makes the best grades, she's popular, she does volunteer work and other extracurricular tasks by the score. Her brother Louis, in the 7th grade, is her opposite. He likes to sleep late, he's messy, his grades are not good, he's frequently in detention and he seems to take nothing seriously. But he is serious about finding something of his own that he can do to put himself on a par with the rest of his overachieving family. Though he and Ren occasionally soften their attitudes toward each other, at any given moment the're likely to be fighting like mongoose and cobra.",Comedy,sibling-relationship california family,2000-06-17,"['Ren Stevens', 'Louis Stevens', 'Donnie Stevens', 'Steve Stevens', 'Eileen Stevens']",40.836,tt0206511,7.6,15441,tvSeries,Even Stevens,Even Stevens,0,2000,30,comedy sibling-relationship california family late finding messy oldest state school child frequently grades overachieving steve occasionally score class daughter detention father grade volunteer brother successful wife legend extracurricular likes family living attorney fighting tasks mongoose 7th work sacramento eileen 8th cobra mother sleep middle ren louis senator popular opposite grader soften sports perfect moment husband good donnie attitudes high rest stevens
4293,48390,Engañada,Engañada is a 2003 telenovela produced by Venevisión. It starred Verónica Schneider and Jorge Aravena as the main protagonists with Desideria De Caro as the main antagonist. The telenovela also aired on Univision in 2003. The exterior shots of the countryside were filmed in at the Parque de la Flora Exótica de Yaracuy and Hacienda de Santa Teresa de Aragua in Venezuela.,Drama Soap,romance telenovela,2003-04-29,"['Marisela Valderrama Ruiz Montero', 'Gabriel Reyes Bustamente', 'Isadora Valderrama Rengifo', 'Alfonso Malavé', 'Fernando Valderrama', 'Ignacio / Braulio', 'Flavia Rengifo de Valderrama']",30.766,tt0368490,7.9,8,tvSeries,Engañada,Engañada,0,2003,45,drama soap romance telenovela univision aravena protagonists verónica shots engañada aired countryside main filmed exótica desideria teresa flora venezuela parque produced yaracuy aragua exterior jorge 2003 telenovela venevisión santa hacienda starred antagonist caro schneider
4294,55878,Ben Fogle: New Lives In The Wild,"Ben Fogle follows in the footsteps of various individuals, who against all odds, have willingly forsaken the luxuries and lifestyle of the modern world, for a less-than-ordinary life in the wilderness.",Documentary Reality,,2013-04-22,['Self'],30.676,tt2795196,8.6,688,tvSeries,Ben Fogle: New Lives in the Wild,Ben Fogle: New Lives in the Wild,0,2013,\N,documentary reality  forsaken individuals willingly odds ben wilderness lifestyle modern luxuries fogle ordinary footsteps life
