,id,title,popularity,imdb_id,averageRating,num_votes,title_type,start_year,tags
40,210865,Golden Boy,697.452,tt21105088,6.0,5741,tvSeries,2022,family drama  habits young change restrictions marry groom live good forced married man hearted wife obligations accepted rich girl life
41,4614,NCIS,689.262,tt0364845,7.8,166146,tvSeries,2003,crime drama action-&-adventure navy marine-corps u.s.-navy naval-officer medical-examiner interrogation ex-marine criminal-investigation veteran virginia crime-investigation special-agent police-procedural adoring crime espionage agents personnel investigates submarines stolen connected terrorism murder evidence marine team navy special corps rank position shred
42,75430,Ázsia Expressz,679.27,tt7675148,6.0,57,tvSeries,2017,reality asia ázsia expressz
43,1399,Game of Thrones,664.535,tt0944947,9.2,2342110,tvSeries,2011,sci-fi-&-fantasy drama action-&-adventure based-on-novel-or-book kingdom dragon king intrigue fantasy-world amidst realms leads awakens men watch evil neglected houses noble land misfits night stands control military north fight families scale mythical order ancient friction war farthest icy horrors westeros
44,108466,Alle mot alle,644.627,tt13085650,7.2,99,tvSeries,2020,reality celebrity quiz alle mot
45,456,The Simpsons,613.878,tt0096697,8.7,441677,tvSeries,1989,family animation comedy nuclear-power-plant middle-class cartoon satire parody dysfunctional-family school social-satire family adult-animation sitcom kids animation witty admiring pop series lisa focuses thousands hundreds marge cast average icon guest media town simpson virtual set star bart attracting general homer fearless american culture politics adventures everyday satirical springfield celebrities family maggie life antics
46,79744,The Rookie,606.042,tt7587890,8.0,81338,tvSeries,2018,crime drama comedy police-everyday-life police-chase los-angeles california police-officer police-detective street-crime lapd police-training crime-investigation dramedy police-department procedural police-drama patrol-officer police-patrol starting easy higher crisis small altering nolan midlife pursuing guy oldest incident town officer force dream lapd walking john met rookie skepticism life
47,261033,The Agent,605.625,tt33091349,7.9,13,tvSeries,2024,action-&-adventure drama  captain rabbit gang notorious infiltrates deeper hole police
48,549,Law & Order,602.755,tt0098844,7.8,45604,tvSeries,1990,crime drama new-york-city police lawyer homicide-detective crime-investigation criminal-law attorney complex builds cases suspects proving justice crimes person guilty reasonable custody evidence office teams expert navigate criminal place convict district working york sides perpetrator police ripped investigate deadly headlines doubt questioning case safer weighing
49,68479,Married at First Sight UK,599.547,tt5434216,5.7,367,tvSeries,2015,reality dating relationship experts leading carefully couples matchmakers laws honeymoon time match marry singles wedding deeply future relationship working married set follow meet british
50,114439,Let's Make a Deal,590.816,tt1536749,6.2,1065,tvSeries,2009,reality game-show game celebrity-game tv-games members audience dress zonks attention attempt cash dreaded deals outlandish avoid host cars prizes brady wayne trips costumes
51,95479,Jujutsu Kaisen,590.26,tt12343534,8.6,129695,tvSeries,2020,animation action-&-adventure sci-fi-&-fantasy martial-arts exorcism secret-organization sorcery supernatural possession based-on-comic paranormal curse tragedy sorcerer school bromance based-on-manga spirit demon demonic-possession dark-fantasy school-life youkai shounen anime incarnation occultism cursed-object physical gojo powerful shares attacked heroic exorcise classmate tremendous yuji finger curse completely body fights itadori curses save school boy ryomen tale lives sukuna soul admitted high eats satoru guided sorcerers organization turn tokyo day jujutsu ordinary strength life
52,764,Midsomer Murders,567.99,tt0118401,7.9,40624,tvSeries,1997,crime drama mystery england murder police-detective murder-investigation police-inspector relaxed serene midsomer murders casual sarcastic pursue diligently dci suspects young violent crimes veteran peacefulness guilty eliminate ruthlessly calmly shattered innocent midsomer community suspicion sergeant
53,2051,The Price Is Right,406.382,tt0068120,7.5,4351,tvSeries,1972,reality game-show big-game worth celebrity-game tv-games challenge variety games prices guess items features contests wide basic price retail everyday
54,246492,Skemergrond,398.629,tt32264591,8.7,11,tvSeries,2024,soap  protect centres beautiful arrive round secrets reveal save threaten turned existence farm opened unexpected gemoedsdrif peaceful forged flower legacy guests bonds upside wounds louw louws family shocking
55,2527,Emmerdale,361.456,tt0068069,4.8,3608,tvSeries,1972,soap drama farm northern-england community yorkshire small-village nearby village lies deceit laughter tears farm revolve families lives affairs dales yorkshire murders
56,210078,STAT,342.01,tt22037002,7.2,151,tvSeries,2022,drama hospital daily personnel vincent lives hospital montréal
57,153312,Tulsa King,567.566,tt16358384,8.0,76111,tvSeries,2022,crime drama comedy fish-out-of-water sicilian-mafia tulsa oklahoma dramedy characters builds released years unceremoniously mafia okla mind criminal interests place manfredi dwight tulsa set 25 mob crew york prison general slowly planet group exiled boss capo empire realizing establish shop family
58,6809,El hormiguero,339.506,tt0870872,5.0,967,tvSeries,2006,comedy talk interview 2007 120 aired 2006 success hosted cuatro black season ratings weekly pablo hormiguero antena 40 september screenwriter channel spain ceremony marron puppet expanded rose comedy martos june focusing politics broadcast science television entertainment motos program luis live produced 2011 spanish prize piedrahita man 2009 trancas barrancas guests ants raquel audience running recurring launch 3 daily began minute proved include 17
59,1405,Dexter,547.346,tt0773262,8.6,790510,tvSeries,2006,crime drama mystery miami florida based-on-novel-or-book double-life vigilante serial-killer psychological-thriller killer murder-investigation crime-investigation neo-noir police-procedural leads criminals justice slipped secret dexter analyst hunting killer blood serial miami spatter pattern police cracks metro morgan life
60,212907,La Promesa,330.255,tt22325164,6.9,321,tvSeries,2022,drama mystery soap  involve 1913 finding woman spain palace plans missing brother saving mother death avenging son reward promesa job marquesses
61,4057,Criminal Minds,508.098,tt0452046,8.1,224080,tvSeries,2005,crime drama mystery fbi criminal-mastermind criminal-profiler crime-investigation special-agent criminology police-procedural cases behavioral member analysis rossi twisted returns david fbi analyze anticipating criminal strike team elite solve profilers moves unit bau experienced agent country minds founding
62,231962,Diepe Waters,322.167,tt22491458,8.9,66,tvSeries,2022,soap  die place south swimming afrikaans telenovela competitive club swartmarlyne language takes african
63,103960,Richard Osman's House of Games,306.011,tt7316998,7.8,974,tvSeries,2017,comedy talk game-show trivia celebrity-panel toe variety entertaining games testing famous week faces knowledge general group skills
64,94997,House of the Dragon,478.604,tt11198330,8.4,443340,tvSeries,2022,sci-fi-&-fantasy drama action-&-adventure based-on-novel-or-book knight giant-monster dragon king fantasy-world fire-&-blood status 15 century fall empires absolute daughter rhaenyra retains iron targaryens dynasty power naming division targaryen tradition shocked viserys seeds apex sow slow dragons throne heir realm heights son breaks court case friction fathers king crumble yoke
65,94722,Tagesschau,476.242,tt0246393,7.3,250,tvSeries,1952,news news current-affairs daily television program german existing news oldest
66,1900,LIVE with Kelly and Mark,476.203,tt0096636,4.5,2363,tvSeries,1988,talk talk-show talk daytime-talk-show television list unrivaled celebrity spontaneous unpredictable morning segments talk kind daytime hilarious guests notch performances
